NOM_ENT,NOM_MUN,AGEB,POBTOT,PEA,Porcentaje_x,PE_INAC,Porcentaje_y,POCUPADA,Porcentaje_x,PDESOCUP,Porcentaje_y
Distrito Federal,Cuajimalpa de Morelos,104,6314,3102,49.12891986,1986,31.45391194,3004,47.57681343,98,1.55210643
Distrito Federal,Cuajimalpa de Morelos,119,3341,1631,48.81771925,1109,33.19365459,1543,46.18377731,88,2.633941934
Distrito Federal,Cuajimalpa de Morelos,123,5350,2492,46.57943925,1866,34.87850467,2415,45.14018692,77,1.439252336
Distrito Federal,Cuajimalpa de Morelos,138,6765,3072,45.41019956,2136,31.57427938,2913,43.05986696,159,2.350332594
Distrito Federal,Cuajimalpa de Morelos,176,8025,3588,44.71028037,2335,29.09657321,3531,44,57,0.710280374
Distrito Federal,Cuajimalpa de Morelos,180,5609,2504,44.64253878,1831,32.64396506,2460,43.85808522,44,0.784453557
Distrito Federal,Cuajimalpa de Morelos,195,10358,5008,48.34910214,2973,28.70245221,4902,47.32573856,106,1.023363584
Distrito Federal,Cuajimalpa de Morelos,208,6461,2985,46.20027859,1927,29.82510447,2796,43.27503482,189,2.92524377
Distrito Federal,Cuajimalpa de Morelos,212,4704,2203,46.83248299,1497,31.82397959,2123,45.13180272,80,1.700680272
Distrito Federal,Cuajimalpa de Morelos,227,8879,3866,43.54093929,2900,32.66133574,3659,41.20959568,207,2.33134362
Distrito Federal,Cuajimalpa de Morelos,231,8958,3820,42.6434472,2930,32.70819379,3683,41.11408797,137,1.529359232
Distrito Federal,Cuajimalpa de Morelos,250,3756,1680,44.7284345,1175,31.28328009,1625,43.26411076,55,1.464323749
Distrito Federal,Cuajimalpa de Morelos,027A,4915,2301,46.81586979,1706,34.71007121,2204,44.84231943,97,1.973550356
Distrito Federal,Cuajimalpa de Morelos,299,8015,3731,46.55021834,2498,31.16656269,3547,44.25452277,184,2.295695571
Distrito Federal,Cuajimalpa de Morelos,301,4216,1990,47.20113852,1277,30.28937381,1914,45.39848197,76,1.802656546
